2021/12/05 21:59:57 [error] 13944#16068: *10922 connect() failed (10061: FormatMessage() error:(15100)) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "condominio.local", referrer: "https://condominio.local/wp-admin/edit.php?post_type=generarqr&paged=1"
2021/12/05 22:00:00 [error] 13944#16068: *10922 connect() failed (10061: FormatMessage() error:(15105)) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "condominio.local", referrer: "https://condominio.local/wp-admin/edit.php?post_type=generarqr&paged=1"
2021/12/05 22:00:03 [error] 13944#16068: *10925 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10930 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10931 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10932 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10933 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10934 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10935 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10936 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10937 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10938 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10940 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10939 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10941 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10942 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10943 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10944 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10945 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10946 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
2021/12/05 22:00:13 [error] 13944#16068: *10947 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "condominio.local", referrer: "https://condominio.local/wp-admin/upload.php"
